text,label
그냥 사람들 앞에 서는 너무 무서워요 괜히입니다,1
솔직히 계속 가슴이 답답하고 조마조마해요입니다,1
작은 일에도 깜짝깜짝 놀라요 정말했어요,1
사실은 하루하루가 너무 힘들어요입니다,0
이상하게도 좋아하는 노래를 들으니 기분이 좋아졌어요 이유 없이싶어요,2
솔직히 사람들 앞에 서는 너무 무서워요 자꾸,1
어느 순간부터 불안해서 잠을 수가 없어요 항상였어요,1
솔직히 커피 마시면서 여유를 즐겼어요하네요,2
가끔은 마음이 자꾸 가라앉고 어두워요 너무였어요,0
솔직히 밥이 너무 맛있게 느껴졌어요 정말요,2
문득 커피 마시면서 여유를 즐겼어요 매일네요,2
어느 순간부터 아무 이유 없이 눈물이 나요 너무였어요,0
어느 순간부터 기운이 하나도 없고 아무것도 하기 싫어요입니다,0
이상하게도 작은 일에도 깜짝깜짝 놀라요 너무하네요,1
솔직히 커피 마시면서 여유를 즐겼어요 너무요,2
이상하게도 모든 때문인 같아요 괜히했어요,0
어느 순간부터 사람들 앞에 서는 너무 무서워요 매일입니다,1
이상하게도 일어나기가 너무 힘들어요 항상요,0
그냥 밥이 너무 맛있게 느껴졌어요,2
가족과 함께 보낸 시간이 소중했어요 이유 없이요,2
요즘 따라 일어나기가 너무 힘들어요 너무했어요,0
그냥 기운이 하나도 없고 아무것도 하기 싫어요 정말했어요,0
요즘 따라 요즘 사는 무의미하게 느껴져요 정말하네요,0
문득 가족과 함께 보낸 시간이 소중했어요 항상싶어요,2
솔직히 작은 일에도 깜짝깜짝 놀라요 정말요,1
문득 읽으면서 조용한 시간을 보냈어요 자꾸싶어요,2
문득 주말에 맛집 탐방하러 다녀왔어요 요즘입니다,2
그냥 불안해서 잠을 수가 없어요 자꾸요,1
솔직히 요즘 사는 무의미하게 느껴져요 이유 없이,0
이상하게도 내일 시험 생각만 해도 가슴이 뛰어요 매일,1
솔직히 사람들 앞에 서는 너무 무서워요 괜히같아요,1
요즘 따라 집에 있어도 자꾸 불안한 생각이 들어요 괜히였어요,1
요즘 따라 혼자 있다는 느낌이 너무 강해요 항상입니다,0
가족과 함께 보낸 시간이 소중했어요 너무입니다,2
문득 아무 이유 없이 눈물이 나요 이유 없이였어요,0
그냥 하루하루가 너무 힘들어요 자꾸였어요,0
사실은 주말에 맛집 탐방하러 다녀왔어요 자꾸싶어요,2
어느 순간부터 마음이 자꾸 가라앉고 어두워요 매일입니다,0
어느 순간부터 모든 때문인 같아요싶어요,0
솔직히 긴장돼서 말도 나와요 이유 없이싶어요,1
사실은 일어나기가 너무 힘들어요 항상요,0
가끔은 의욕이 없고 계속 누워만 있고 싶어요 괜히,0
요즘 사는 무의미하게 느껴져요 요즘네요,0
그냥 혼자 있다는 느낌이 너무 강해요 매일입니다,0
그냥 긴장돼서 말도 나와요 매일하네요,1
솔직히 나만 뒤처질까 마음이 불안해요 항상같아요,1
이상하게도 커피 마시면서 여유를 즐겼어요 정말요,2
요즘 따라 아무 이유 없이 눈물이 나요 이유 없이입니다,0
이상하게도 밥이 너무 맛있게 느껴졌어요 요즘같아요,2
뭔가 좋은 일이 생길 같아 두려워요 너무네요,1
그냥 작은 일에도 깜짝깜짝 놀라요 요즘입니다,1
산책하면서 기분이 좋아졌어요 정말요,2
솔직히 포기하고 싶다는 생각만 들어요 왠지였어요,0
친구랑 수다 떨면서 웃었어요 왠지입니다,2
문득 요즘 사는 무의미하게 느껴져요 너무요,0
그냥 커피 마시면서 여유를 즐겼어요 왠지입니다,2
그냥 긴장돼서 말도 나와요 자꾸,1
그냥 기운이 하나도 없고 아무것도 하기 싫어요 매일했어요,0
이상하게도 주말에 맛집 탐방하러 다녀왔어요 항상요,2
이상하게도 내일 시험 생각만 해도 가슴이 뛰어요,1
요즘 따라 아무 이유 없이 눈물이 나요 이유 없이하네요,0
솔직히 모든 때문인 같아요 자꾸싶어요,0
가끔은 포기하고 싶다는 생각만 들어요 자꾸네요,0
이상하게도 하루하루가 너무 힘들어요 정말입니다,0
그냥 기운이 하나도 없고 아무것도 하기 싫어요 왠지하네요,0
그냥 사람들 앞에 서는 너무 무서워요 요즘하네요,1
사실은 계속 가슴이 답답하고 조마조마해요 왠지였어요,1
긴장돼서 말도 나와요 왠지싶어요,1
어느 순간부터 작은 일에도 깜짝깜짝 놀라요 너무입니다,1
문득 혼자 있다는 느낌이 너무 강해요 요즘했어요,0
요즘 따라 사람들 앞에 서는 너무 무서워요하네요,1
요즘 따라 읽으면서 조용한 시간을 보냈어요 왠지였어요,2
이상하게도 하루가 평온하게 흘러갔어요네요,2
문득 작은 일에도 깜짝깜짝 놀라요 매일네요,1
사실은 포기하고 싶다는 생각만 들어요 매일였어요,0
요즘 따라 혼자 있다는 느낌이 너무 강해요 왠지요,0
이상하게도 읽으면서 조용한 시간을 보냈어요 정말하네요,2
어느 순간부터 밥이 너무 맛있게 느껴졌어요 너무했어요,2
사실은 하루가 평온하게 흘러갔어요 괜히였어요,2
솔직히 친구랑 수다 떨면서 웃었어요 매일하네요,2
이상하게도 뭔가 좋은 일이 생길 같아 두려워요 정말,1
문득 사람들 앞에 서는 너무 무서워요 왠지하네요,1
솔직히 일어나기가 너무 힘들어요 왠지같아요,0
솔직히 계속 가슴이 답답하고 조마조마해요 왠지입니다,1
솔직히 하루가 평온하게 흘러갔어요 요즘네요,2
어느 순간부터 기운이 하나도 없고 아무것도 하기 싫어요 왠지했어요,0
어느 순간부터 읽으면서 조용한 시간을 보냈어요 이유 없이했어요,2
요즘 따라 뭔가 좋은 일이 생길 같아 두려워요 요즘입니다,1
이상하게도 친구랑 수다 떨면서 웃었어요 이유 없이했어요,2
문득 오늘 날씨가 정말 맑고 좋아요입니다,2
그냥 마음이 자꾸 가라앉고 어두워요 너무,0
어느 순간부터 계속 가슴이 답답하고 조마조마해요 괜히하네요,1
문득 주말에 맛집 탐방하러 다녀왔어요 이유 없이싶어요,2
사실은 계속 가슴이 답답하고 조마조마해요 왠지하네요,1
솔직히 내일 시험 생각만 해도 가슴이 뛰어요 괜히했어요,1
마음이 자꾸 가라앉고 어두워요 정말했어요,0
어느 순간부터 주말에 맛집 탐방하러 다녀왔어요 이유 없이,2
문득 산책하면서 기분이 좋아졌어요 이유 없이요,2
솔직히 의욕이 없고 계속 누워만 있고 싶어요 왠지네요,0
사실은 작은 일에도 깜짝깜짝 놀라요 괜히였어요,1
솔직히 커피 마시면서 여유를 즐겼어요 왠지,2
솔직히 모든 때문인 같아요 너무싶어요,0
이상하게도 하루하루가 너무 힘들어요 요즘,0
요즘 따라 내일 시험 생각만 해도 가슴이 뛰어요 괜히,1
문득 사람들 앞에 서는 너무 무서워요 자꾸하네요,1
아무 이유 없이 눈물이 나요 이유 없이입니다,0
어느 순간부터 집에 있어도 자꾸 불안한 생각이 들어요 자꾸하네요,1
가끔은 마음이 자꾸 가라앉고 어두워요 자꾸같아요,0
문득 모든 때문인 같아요 왠지,0
사실은 긴장돼서 말도 나와요 정말,1
어느 순간부터 산책하면서 기분이 좋아졌어요 왠지,2
이상하게도 포기하고 싶다는 생각만 들어요 괜히했어요,0
솔직히 오늘 날씨가 정말 맑고 좋아요 왠지네요,2
문득 커피 마시면서 여유를 즐겼어요 괜히,2
요즘 따라 포기하고 싶다는 생각만 들어요 너무하네요,0
어느 순간부터 커피 마시면서 여유를 즐겼어요 자꾸였어요,2
아무 이유 없이 눈물이 나요 왠지네요,0
요즘 따라 마음이 자꾸 가라앉고 어두워요 왠지네요,0
요즘 따라 긴장돼서 말도 나와요 괜히싶어요,1
사실은 실수할까봐 자꾸 걱정이 돼요 이유 없이,1
커피 마시면서 여유를 즐겼어요,2
요즘 따라 실수할까봐 자꾸 걱정이 돼요 항상네요,1
솔직히 기운이 하나도 없고 아무것도 하기 싫어요 정말하네요,0
문득 내일 시험 생각만 해도 가슴이 뛰어요 항상하네요,1
문득 내일 시험 생각만 해도 가슴이 뛰어요싶어요,1
요즘 따라 좋아하는 노래를 들으니 기분이 좋아졌어요 요즘같아요,2
그냥 나만 뒤처질까 마음이 불안해요 정말요,1
이상하게도 의욕이 없고 계속 누워만 있고 싶어요 매일,0
요즘 사는 무의미하게 느껴져요 항상싶어요,0
가끔은 아무 이유 없이 눈물이 나요 왠지요,0
이상하게도 하루가 평온하게 흘러갔어요 정말했어요,2
문득 사람들 앞에 서는 너무 무서워요 괜히했어요,1
솔직히 긴장돼서 말도 나와요 요즘였어요,1
요즘 따라 실수할까봐 자꾸 걱정이 돼요 너무네요,1
사실은 기운이 하나도 없고 아무것도 하기 싫어요 매일요,0
어느 순간부터 모든 때문인 같아요 항상싶어요,0
그냥 의욕이 없고 계속 누워만 있고 싶어요 요즘,0
그냥 작은 일에도 깜짝깜짝 놀라요 너무입니다,1
긴장돼서 말도 나와요 항상했어요,1
문득 오늘 날씨가 정말 맑고 좋아요 이유 없이,2
이상하게도 주말에 맛집 탐방하러 다녀왔어요 요즘하네요,2
가끔은 사람들 앞에 서는 너무 무서워요싶어요,1
어느 순간부터 주말에 맛집 탐방하러 다녀왔어요 괜히입니다,2
이상하게도 주말에 맛집 탐방하러 다녀왔어요 정말싶어요,2
가끔은 읽으면서 조용한 시간을 보냈어요요,2
그냥 의욕이 없고 계속 누워만 있고 싶어요 이유 없이했어요,0
어느 순간부터 친구랑 수다 떨면서 웃었어요 너무,2
사실은 오늘 날씨가 정말 맑고 좋아요 매일하네요,2
사실은 커피 마시면서 여유를 즐겼어요 자꾸했어요,2
의욕이 없고 계속 누워만 있고 싶어요,0
이상하게도 작은 일에도 깜짝깜짝 놀라요 자꾸했어요,1
요즘 따라 가족과 함께 보낸 시간이 소중했어요 괜히,2
문득 모든 때문인 같아요 정말하네요,0
요즘 따라 읽으면서 조용한 시간을 보냈어요하네요,2
아무 이유 없이 눈물이 나요 요즘,0
솔직히 나만 뒤처질까 마음이 불안해요 이유 없이입니다,1
이상하게도 기운이 하나도 없고 아무것도 하기 싫어요 요즘네요,0
솔직히 산책하면서 기분이 좋아졌어요 괜히요,2
요즘 따라 집에 있어도 자꾸 불안한 생각이 들어요 매일,1
이상하게도 가족과 함께 보낸 시간이 소중했어요 정말였어요,2
사실은 뭔가 좋은 일이 생길 같아 두려워요 항상싶어요,1
실수할까봐 자꾸 걱정이 돼요 요즘였어요,1
솔직히 혼자 있다는 느낌이 너무 강해요 항상,0
사실은 모든 때문인 같아요 너무입니다,0
뭔가 좋은 일이 생길 같아 두려워요 괜히,1
요즘 따라 나만 뒤처질까 마음이 불안해요입니다,1
포기하고 싶다는 생각만 들어요 요즘였어요,0
이상하게도 가족과 함께 보낸 시간이 소중했어요 이유 없이,2
어느 순간부터 오늘 날씨가 정말 맑고 좋아요 항상였어요,2
어느 순간부터 혼자 있다는 느낌이 너무 강해요 매일네요,0
이상하게도 읽으면서 조용한 시간을 보냈어요 정말네요,2
그냥 커피 마시면서 여유를 즐겼어요 괜히같아요,2
이상하게도 나만 뒤처질까 마음이 불안해요 매일했어요,1
요즘 따라 포기하고 싶다는 생각만 들어요 괜히하네요,0
어느 순간부터 좋아하는 노래를 들으니 기분이 좋아졌어요 정말하네요,2
가끔은 계속 가슴이 답답하고 조마조마해요같아요,1
문득 친구랑 수다 떨면서 웃었어요 요즘였어요,2
요즘 따라 뭔가 좋은 일이 생길 같아 두려워요 자꾸,1
문득 기운이 하나도 없고 아무것도 하기 싫어요 항상요,0
사실은 계속 가슴이 답답하고 조마조마해요 자꾸싶어요,1
어느 순간부터 요즘 사는 무의미하게 느껴져요 왠지하네요,0
솔직히 커피 마시면서 여유를 즐겼어요 왠지같아요,2
이상하게도 사람들 앞에 서는 너무 무서워요 요즘였어요,1
이상하게도 하루가 평온하게 흘러갔어요 왠지같아요,2
사실은 마음이 자꾸 가라앉고 어두워요 왠지요,0
문득 요즘 사는 무의미하게 느껴져요 항상싶어요,0
문득 일어나기가 너무 힘들어요싶어요,0
요즘 따라 하루가 평온하게 흘러갔어요 왠지같아요,2
내일 시험 생각만 해도 가슴이 뛰어요 왠지했어요,1
솔직히 나만 뒤처질까 마음이 불안해요 항상했어요,1
어느 순간부터 포기하고 싶다는 생각만 들어요 정말했어요,0
요즘 따라 작은 일에도 깜짝깜짝 놀라요 항상싶어요,1
사실은 실수할까봐 자꾸 걱정이 돼요 정말였어요,1
솔직히 요즘 사는 무의미하게 느껴져요 정말같아요,0
솔직히 실수할까봐 자꾸 걱정이 돼요 요즘같아요,1
솔직히 읽으면서 조용한 시간을 보냈어요 왠지네요,2
솔직히 아무 이유 없이 눈물이 나요 괜히싶어요,0
요즘 따라 주말에 맛집 탐방하러 다녀왔어요 괜히했어요,2
그냥 요즘 사는 무의미하게 느껴져요 괜히했어요,0
일어나기가 너무 힘들어요 항상싶어요,0
솔직히 내일 시험 생각만 해도 가슴이 뛰어요네요,1
솔직히 불안해서 잠을 수가 없어요 항상같아요,1
어느 순간부터 기운이 하나도 없고 아무것도 하기 싫어요 매일네요,0
솔직히 오늘 날씨가 정말 맑고 좋아요 괜히입니다,2
어느 순간부터 실수할까봐 자꾸 걱정이 돼요 자꾸네요,1
솔직히 나만 뒤처질까 마음이 불안해요 이유 없이,1
오늘 날씨가 정말 맑고 좋아요 괜히요,2
어느 순간부터 커피 마시면서 여유를 즐겼어요 정말,2
문득 모든 때문인 같아요 매일,0
요즘 따라 친구랑 수다 떨면서 웃었어요 괜히요,2
그냥 밥이 너무 맛있게 느껴졌어요 너무같아요,2
솔직히 계속 가슴이 답답하고 조마조마해요 항상네요,1
어느 순간부터 뭔가 좋은 일이 생길 같아 두려워요,1
가족과 함께 보낸 시간이 소중했어요 자꾸싶어요,2
솔직히 요즘 사는 무의미하게 느껴져요 자꾸였어요,0
사실은 마음이 자꾸 가라앉고 어두워요 이유 없이했어요,0
요즘 따라 의욕이 없고 계속 누워만 있고 싶어요 자꾸네요,0
솔직히 포기하고 싶다는 생각만 들어요 괜히네요,0
문득 불안해서 잠을 수가 없어요 요즘,1
솔직히 가족과 함께 보낸 시간이 소중했어요 요즘같아요,2
그냥 집에 있어도 자꾸 불안한 생각이 들어요 너무네요,1
어느 순간부터 긴장돼서 말도 나와요 이유 없이했어요,1
그냥 아무 이유 없이 눈물이 나요였어요,0
이상하게도 밥이 너무 맛있게 느껴졌어요 왠지,2
내일 시험 생각만 해도 가슴이 뛰어요 정말하네요,1
어느 순간부터 아무 이유 없이 눈물이 나요 항상같아요,0
그냥 포기하고 싶다는 생각만 들어요입니다,0
솔직히 읽으면서 조용한 시간을 보냈어요 이유 없이했어요,2
사실은 내일 시험 생각만 해도 가슴이 뛰어요 자꾸입니다,1
사실은 포기하고 싶다는 생각만 들어요 항상네요,0
긴장돼서 말도 나와요 매일했어요,1
작은 일에도 깜짝깜짝 놀라요 자꾸같아요,1
문득 읽으면서 조용한 시간을 보냈어요 항상였어요,2
어느 순간부터 요즘 사는 무의미하게 느껴져요하네요,0
그냥 의욕이 없고 계속 누워만 있고 싶어요 왠지입니다,0
이상하게도 불안해서 잠을 수가 없어요 자꾸,1
어느 순간부터 마음이 자꾸 가라앉고 어두워요 괜히,0
그냥 계속 가슴이 답답하고 조마조마해요 이유 없이했어요,1
솔직히 산책하면서 기분이 좋아졌어요 정말입니다,2
사실은 아무 이유 없이 눈물이 나요 괜히하네요,0
어느 순간부터 읽으면서 조용한 시간을 보냈어요 항상요,2
요즘 따라 마음이 자꾸 가라앉고 어두워요 이유 없이,0
가끔은 밥이 너무 맛있게 느껴졌어요네요,2
그냥 작은 일에도 깜짝깜짝 놀라요 항상네요,1
요즘 따라 마음이 자꾸 가라앉고 어두워요 정말였어요,0
가끔은 기운이 하나도 없고 아무것도 하기 싫어요하네요,0
가끔은 긴장돼서 말도 나와요 자꾸입니다,1
요즘 사는 무의미하게 느껴져요 요즘였어요,0
요즘 따라 의욕이 없고 계속 누워만 있고 싶어요 정말입니다,0
사실은 산책하면서 기분이 좋아졌어요 요즘하네요,2
솔직히 뭔가 좋은 일이 생길 같아 두려워요 왠지하네요,1
그냥 실수할까봐 자꾸 걱정이 돼요 요즘요,1
가끔은 아무 이유 없이 눈물이 나요 요즘네요,0
요즘 따라 실수할까봐 자꾸 걱정이 돼요 정말했어요,1
문득 주말에 맛집 탐방하러 다녀왔어요 자꾸요,2
그냥 밥이 너무 맛있게 느껴졌어요 괜히입니다,2
사실은 계속 가슴이 답답하고 조마조마해요 매일했어요,1
그냥 친구랑 수다 떨면서 웃었어요 항상네요,2
사실은 주말에 맛집 탐방하러 다녀왔어요입니다,2
오늘 날씨가 정말 맑고 좋아요같아요,2
사실은 긴장돼서 말도 나와요 왠지했어요,1
문득 작은 일에도 깜짝깜짝 놀라요 너무싶어요,1
이상하게도 아무 이유 없이 눈물이 나요 정말였어요,0
어느 순간부터 작은 일에도 깜짝깜짝 놀라요 요즘입니다,1
사실은 혼자 있다는 느낌이 너무 강해요 왠지했어요,0
오늘 날씨가 정말 맑고 좋아요 요즘싶어요,2
하루가 평온하게 흘러갔어요 이유 없이네요,2
밥이 너무 맛있게 느껴졌어요,2
그냥 친구랑 수다 떨면서 웃었어요 이유 없이였어요,2
어느 순간부터 하루하루가 너무 힘들어요 이유 없이싶어요,0
가끔은 긴장돼서 말도 나와요 매일입니다,1
문득 집에 있어도 자꾸 불안한 생각이 들어요네요,1
사실은 오늘 날씨가 정말 맑고 좋아요 항상,2
요즘 따라 기운이 하나도 없고 아무것도 하기 싫어요 자꾸했어요,0
사실은 집에 있어도 자꾸 불안한 생각이 들어요 정말네요,1
그냥 내일 시험 생각만 해도 가슴이 뛰어요 이유 없이요,1
문득 산책하면서 기분이 좋아졌어요 정말입니다,2
이상하게도 실수할까봐 자꾸 걱정이 돼요 너무입니다,1
요즘 사는 무의미하게 느껴져요 자꾸요,0
사실은 모든 때문인 같아요 자꾸,0
가끔은 사람들 앞에 서는 너무 무서워요 요즘,1
그냥 포기하고 싶다는 생각만 들어요 정말같아요,0
이상하게도 모든 때문인 같아요 괜히같아요,0
어느 순간부터 하루하루가 너무 힘들어요,0
이상하게도 혼자 있다는 느낌이 너무 강해요 항상했어요,0
요즘 따라 집에 있어도 자꾸 불안한 생각이 들어요 요즘싶어요,1
문득 하루하루가 너무 힘들어요입니다,0
문득 하루가 평온하게 흘러갔어요 매일싶어요,2
가끔은 모든 때문인 같아요 괜히였어요,0
솔직히 마음이 자꾸 가라앉고 어두워요 왠지,0
문득 하루가 평온하게 흘러갔어요입니다,2
요즘 따라 하루가 평온하게 흘러갔어요 매일하네요,2
어느 순간부터 불안해서 잠을 수가 없어요 왠지네요,1
이상하게도 작은 일에도 깜짝깜짝 놀라요 자꾸요,1
문득 작은 일에도 깜짝깜짝 놀라요 요즘입니다,1
가끔은 산책하면서 기분이 좋아졌어요 괜히요,2
그냥 모든 때문인 같아요 너무싶어요,0
가끔은 하루가 평온하게 흘러갔어요했어요,2
가족과 함께 보낸 시간이 소중했어요 자꾸하네요,2
그냥 마음이 자꾸 가라앉고 어두워요 매일,0
가끔은 하루하루가 너무 힘들어요 항상입니다,0
문득 작은 일에도 깜짝깜짝 놀라요싶어요,1
그냥 아무 이유 없이 눈물이 나요 너무하네요,0
내일 시험 생각만 해도 가슴이 뛰어요 너무하네요,1
어느 순간부터 가족과 함께 보낸 시간이 소중했어요 요즘네요,2
이상하게도 일어나기가 너무 힘들어요 항상네요,0
문득 내일 시험 생각만 해도 가슴이 뛰어요네요,1
문득 작은 일에도 깜짝깜짝 놀라요 왠지같아요,1
가끔은 긴장돼서 말도 나와요 이유 없이,1
문득 포기하고 싶다는 생각만 들어요 이유 없이요,0
문득 요즘 사는 무의미하게 느껴져요 정말요,0
이상하게도 실수할까봐 자꾸 걱정이 돼요 자꾸싶어요,1
가끔은 하루하루가 너무 힘들어요 항상네요,0
문득 밥이 너무 맛있게 느껴졌어요 괜히했어요,2
이상하게도 내일 시험 생각만 해도 가슴이 뛰어요 괜히싶어요,1
읽으면서 조용한 시간을 보냈어요 너무했어요,2
의욕이 없고 계속 누워만 있고 싶어요 매일네요,0
요즘 따라 가족과 함께 보낸 시간이 소중했어요 항상요,2
그냥 사람들 앞에 서는 너무 무서워요 정말요,1
이상하게도 사람들 앞에 서는 너무 무서워요 매일였어요,1
솔직히 긴장돼서 말도 나와요 왠지입니다,1
어느 순간부터 모든 때문인 같아요 이유 없이였어요,0
그냥 오늘 날씨가 정말 맑고 좋아요 이유 없이입니다,2
가끔은 산책하면서 기분이 좋아졌어요 항상하네요,2
솔직히 나만 뒤처질까 마음이 불안해요 정말였어요,1
가끔은 실수할까봐 자꾸 걱정이 돼요 이유 없이싶어요,1
요즘 따라 일어나기가 너무 힘들어요 자꾸요,0
솔직히 읽으면서 조용한 시간을 보냈어요 이유 없이입니다,2
사실은 좋아하는 노래를 들으니 기분이 좋아졌어요 이유 없이네요,2
가끔은 커피 마시면서 여유를 즐겼어요 정말요,2
혼자 있다는 느낌이 너무 강해요 너무였어요,0
어느 순간부터 나만 뒤처질까 마음이 불안해요 매일입니다,1
사실은 작은 일에도 깜짝깜짝 놀라요 이유 없이입니다,1
사실은 나만 뒤처질까 마음이 불안해요싶어요,1
가끔은 내일 시험 생각만 해도 가슴이 뛰어요 이유 없이네요,1
문득 읽으면서 조용한 시간을 보냈어요 항상입니다,2
어느 순간부터 주말에 맛집 탐방하러 다녀왔어요 괜히같아요,2
이상하게도 실수할까봐 자꾸 걱정이 돼요 이유 없이,1
가끔은 커피 마시면서 여유를 즐겼어요요,2
가끔은 불안해서 잠을 수가 없어요 매일네요,1
솔직히 친구랑 수다 떨면서 웃었어요 요즘싶어요,2
이상하게도 하루하루가 너무 힘들어요 괜히요,0
그냥 내일 시험 생각만 해도 가슴이 뛰어요 매일하네요,1
가끔은 읽으면서 조용한 시간을 보냈어요 왠지요,2
요즘 따라 일어나기가 너무 힘들어요 항상네요,0
그냥 내일 시험 생각만 해도 가슴이 뛰어요 매일요,1
이상하게도 하루가 평온하게 흘러갔어요였어요,2
가끔은 포기하고 싶다는 생각만 들어요 항상입니다,0
나만 뒤처질까 마음이 불안해요 항상,1
솔직히 의욕이 없고 계속 누워만 있고 싶어요 매일했어요,0
어느 순간부터 사람들 앞에 서는 너무 무서워요 너무입니다,1
문득 밥이 너무 맛있게 느껴졌어요 항상싶어요,2
요즘 따라 아무 이유 없이 눈물이 나요,0
산책하면서 기분이 좋아졌어요 정말싶어요,2
솔직히 주말에 맛집 탐방하러 다녀왔어요 정말싶어요,2
어느 순간부터 기운이 하나도 없고 아무것도 하기 싫어요 요즘같아요,0
어느 순간부터 하루가 평온하게 흘러갔어요 괜히같아요,2
요즘 사는 무의미하게 느껴져요 요즘하네요,0
이상하게도 밥이 너무 맛있게 느껴졌어요 항상하네요,2
그냥 긴장돼서 말도 나와요 요즘요,1
커피 마시면서 여유를 즐겼어요 요즘했어요,2
어느 순간부터 산책하면서 기분이 좋아졌어요 요즘네요,2
사실은 사람들 앞에 서는 너무 무서워요 매일요,1
솔직히 요즘 사는 무의미하게 느껴져요 너무싶어요,0
솔직히 일어나기가 너무 힘들어요 너무요,0
어느 순간부터 혼자 있다는 느낌이 너무 강해요 매일같아요,0
이상하게도 불안해서 잠을 수가 없어요 항상같아요,1
사실은 뭔가 좋은 일이 생길 같아 두려워요 왠지하네요,1
뭔가 좋은 일이 생길 같아 두려워요 너무입니다,1
가끔은 친구랑 수다 떨면서 웃었어요 요즘하네요,2
가끔은 마음이 자꾸 가라앉고 어두워요,0
문득 아무 이유 없이 눈물이 나요요,0
사람들 앞에 서는 너무 무서워요 매일요,1
이상하게도 긴장돼서 말도 나와요 이유 없이,1
요즘 따라 아무 이유 없이 눈물이 나요 자꾸요,0
가끔은 실수할까봐 자꾸 걱정이 돼요 자꾸요,1
어느 순간부터 사람들 앞에 서는 너무 무서워요 너무요,1
그냥 계속 가슴이 답답하고 조마조마해요였어요,1
